#Table1
oh_p50,sfr_tot_p50,bptclass
-9999,-2.040528,-1
-9999,-9999,-1
-9999,-0.6198216,1
-9999,-4.320364,-1
-9999,-0.1353475,3
-9999,-9999,-1
-9999,-1.728022,-1
-9999,-9999,-1
-9999,0.1436023,2
-9999,-9999,2
-9999,-9999,-1
-9999,0.3903165,2
-9999,-3.608739,-1
-9999,-3.419821,-1
-9999,-9999,-1
8.62964,-2.687118,1
-9999,-1.012547,5
-9999,-4.97777,2
-9999,-1.305906,-1
8.953279,-0.4570538,1
9.066183,0.683255,1
-9999,-1.562377,2
9.10687,0.3985617,1
-9999,-9999,-1
8.02586,-1.128595,1
-9999,-9999,-1
8.807297,0.1488068,1
-9999,0.2082177,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.260695,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.892783,-1
-9999,-9999,-1
-9999,-0.3324567,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,2
-9999,0.5244686,3
-9999,-4.577166,-1
-9999,-4.570993,-1
9.110003,1.568178,1
-9999,-9999,-1
-9999,-9999,-1
8.605147,-0.1231343,1
-9999,-9999,-1
-9999,-9999,-1
9.072128,0.5953993,1
-9999,-0.8564764,-1
-9999,-0.9670006,5
-9999,0.5567067,3
9.042723,-0.02313651,1
-9999,-9999,-1
-9999,1.024448,2
-9999,-0.9584753,5
8.689326,-0.01109461,1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.1355831,2
-9999,-0.3868619,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.4497059,5
-9999,-1.018653,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-3.157504,-1
9.08739,1.053417,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-2.702822,2
-9999,-9999,-1
-9999,-9999,2
-9999,-4.679893,2
-9999,-0.9547152,-1
-9999,-4.591038,2
-9999,-1.147027,-1
-9999,-0.5971601,5
-9999,-9999,2
-9999,-9999,-1
-9999,-1.287019,5
-9999,-1.631687,2
8.353095,-0.6321334,1
8.547758,-0.9842485,1
-9999,0.2037956,2
-9999,-0.9921916,-1
-9999,-0.607443,2
-9999,-9999,5
8.838914,1.37909,1
-9999,-0.5269953,2
-9999,-1.415084,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
8.944146,0.4555907,1
-9999,-9999,2
-9999,-0.9423792,-1
-9999,0.139594,5
-9999,-9999,-1
-9999,0.7390168,2
-9999,-3.122093,-1
-9999,-0.3804486,-1
-9999,-9999,-1
-9999,-1.310129,-1
-9999,-0.3664359,-1
8.999604,-0.1470918,1
-9999,-0.8720657,-1
9.011819,0.2587989,1
-9999,-1.070409,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
8.806526,-1.076066,1
-9999,-9999,-1
8.842595,-0.7134811,1
-9999,0.5526984,2
-9999,-9999,-1
-9999,-0.7906065,-1
-9999,-9999,-1
-9999,-2.765888,-1
-9999,-0.3188531,-1
-9999,0.4994339,2
-9999,0.3690217,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-3.020775,-1
-9999,-9999,-1
-9999,-3.056747,-1
-9999,-1.184135,-1
-9999,-9999,-1
-9999,-1.241174,2
8.793995,-0.2203952,1
-9999,-1.280517,-1
-9999,-1.039686,4
-9999,0.05268492,3
8.672927,-0.2691427,1
-9999,-3.118957,-1
8.33964,-0.9301046,1
-9999,-9999,-1
8.81431,0.1375287,1
-9999,-1.227931,-1
-9999,-3.051375,-1
-9999,-3.322298,2
-9999,-4.915817,-1
-9999,1.450261,-1
8.425141,-0.3586956,1
-9999,1.523286,1
-9999,-1.070413,-1
8.835915,-0.3456116,1
-9999,-9999,-1
8.710571,-0.7667105,1
-9999,-9999,2
-9999,-9999,-1
9.111888,0.881717,1
-9999,-1.394243,-1
-9999,-9999,-1
-9999,-4.731963,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.6087117,-1
-9999,-9999,-1
8.866239,-0.4781157,1
-9999,0.01857388,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.25994,-1
-9999,0.1429065,3
-9999,-3.19676,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.8811885,-1
9.09257,0.6397662,1
-9999,-0.7139242,2
-9999,-1.192987,-1
-9999,-4.910313,-1
-9999,-0.6323059,-1
-9999,-9999,-1
8.966497,0.3810976,1
-9999,-4.919119,-1
-9999,0.5015016,2
-9999,-4.023067,2
-9999,0.4508334,3
-9999,-9999,-1
-9999,-0.3899844,2
-9999,-0.9897828,-1
8.688159,-0.1838925,1
-9999,-0.4327678,-1
-9999,-0.5792039,-1
-9999,-0.3598684,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.5437356,3
-9999,-9999,-1
-9999,-1.397222,-1
-9999,-9999,2
-9999,0.7319708,-1
-9999,-9999,-1
8.712954,-0.5182623,1
-9999,-9999,-1
8.701316,-1.219139,1
-9999,-1.073889,4
8.734101,-0.7302056,1
-9999,-0.8016632,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.5523208,2
8.849819,0.03576656,1
-9999,-4.76926,-1
-9999,-9999,-1
-9999,-0.8133348,-1
-9999,-3.312686,-1
-9999,-4.878148,-1
-9999,-0.3356025,-1
-9999,-9999,-1
8.235228,-1.182623,1
9.071219,0.605851,1
-9999,-9999,-1
-9999,0.4280087,2
-9999,0.1657875,2
-9999,-1.321445,2
9.130424,0.5369657,1
-9999,0.5263938,2
-9999,0.2931283,3
-9999,0.2216055,2
-9999,-1.121101,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.6961918,-1
-9999,-0.5003887,2
-9999,-9999,-1
8.885921,-0.3098807,1
-9999,-1.593843,-1
-9999,-0.3476061,5
-9999,-0.4359125,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.892429,2
-9999,0.4687604,-1
-9999,-9999,-1
-9999,-0.8654571,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.282233,-1
9.062215,0.4907589,1
-9999,-9999,-1
-9999,-1.082732,-1
-9999,-0.1369019,2
-9999,-1.56104,5
-9999,-9999,-1
-9999,-9999,2
-9999,-0.6957721,5
-9999,-1.555858,-1
-9999,-3.19112,-1
-9999,-3.585436,-1
9.057296,0.6350172,1
-9999,-1.097563,2
-9999,-1.204325,2
-9999,-0.6297768,2
-9999,-0.5241501,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.672423,-1
-9999,0.5485734,2
-9999,0.473706,2
9.007251,-0.3124593,1
-9999,-1.247587,-1
-9999,0.09504655,-1
-9999,-1.388642,-1
8.67674,0.7301967,1
-9999,-0.9987366,5
-9999,-9999,-1
-9999,-9999,4
-9999,-9999,-1
-9999,-0.9674562,-1
-9999,-3.323979,-1
-9999,-1.147325,-1
-9999,-9999,-1
-9999,-9999,-1
8.869214,0.3672973,1
-9999,-9999,-1
8.868612,0.1255319,1
-9999,-1.659048,5
8.731245,-0.7944721,1
9.01531,0.6852195,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.598767,-1
-9999,0.4135062,5
-9999,-0.760587,-1
-9999,-9999,-1
8.691092,-0.2346753,1
-9999,-4.433742,-1
-9999,-2.828848,2
-9999,-9999,-1
-9999,0.03128162,2
-9999,-9999,-1
9.109031,0.6814018,1
-9999,-9999,-1
-9999,0.6799569,3
-9999,-0.4733928,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.1519798,3
-9999,-9999,-1
-9999,-1.683174,-1
-9999,-0.26368,2
-9999,-9999,-1
-9999,-9999,-1
-9999,0.6835167,3
8.897683,-0.05174703,1
-9999,-1.203749,-1
-9999,0.9043268,2
-9999,-9999,-1
-9999,0.927971,2
-9999,-1.691499,-1
-9999,-1.028844,-1
-9999,-9999,-1
-9999,-0.5137319,-1
-9999,-0.2657575,-1
-9999,-0.8360603,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.231596,-1
9.128778,0.4595663,1
8.618958,-1.023408,1
-9999,-0.5468429,-1
-9999,-1.283791,-1
-9999,-4.845334,-1
-9999,0.844382,2
-9999,-9999,-1
-9999,-4.594341,-1
-9999,0.5289698,2
-9999,-1.058135,-1
-9999,-0.9296792,-1
8.850184,-0.2307692,1
-9999,-0.2888238,5
-9999,-0.1251436,-1
-9999,-9999,-1
-9999,-1.533994,-1
-9999,-1.227379,5
-9999,-1.239359,-1
8.985537,0.2911151,1
-9999,-3.415541,-1
-9999,0.3418295,5
-9999,0.7060748,2
-9999,-1.074557,-1
-9999,-3.250365,-1
-9999,-0.6308166,2
-9999,-9999,-1
-9999,-9999,2
-9999,-1.14344,-1
9.010097,-0.2896549,1
9.149028,0.4161139,1
-9999,-9999,-1
-9999,-9999,2
9.209994,2.075819,1
-9999,0.007884747,2
-9999,-1.579928,-1
-9999,-0.6506836,2
-9999,-9999,-1
-9999,-9999,-1
8.909996,-2.003962,1
-9999,0.4267282,5
-9999,0.3933805,2
-9999,-9999,-1
-9999,-3.269396,-1
-9999,-9999,-1
-9999,-3.137028,-1
-9999,-4.241091,-1
-9999,-9999,-1
-9999,-0.1690936,3
-9999,-1.320458,-1
-9999,-9999,-1
-9999,-1.060566,-1
-9999,-0.809789,5
-9999,-1.084301,2
-9999,-4.839249,-1
-9999,-9999,-1
-9999,0.4611146,3
-9999,-1.243428,-1
-9999,-1.39276,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-0.2950817,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.8539758,2
-9999,-9999,-1
-9999,-1.223323,-1
-9999,-4.976592,2
9.049544,0.5330948,1
-9999,-9999,-1
