#Table1
ra,dec,u,g,r,i,z
132.618814242797,11.6557846587814,22.13848,22.54982,21.7806,22.45756,20.62377
132.61882515178,11.6556580762587,22.87586,22.16656,21.89293,21.60873,22.01287
132.6188398281,11.7305427575285,24.84452,24.78478,23.72762,22.0848,21.47669
132.618842480648,11.9105675949764,24.33881,23.67597,22.04681,20.48516,19.912
132.61886307686,11.9106286707014,23.26823,23.11178,22.2048,20.47718,19.86151
132.618874532152,11.7182832777627,22.90342,22.27921,22.71233,22.10725,21.70132
132.61887948505,11.6557292791223,23.06646,22.97712,22.3434,21.97605,21.9278
132.61909816526,11.6687820800551,24.22585,22.47906,20.96305,19.83599,19.19041
132.61910142824,11.6687894624941,25.47607,22.25874,21.13703,19.91179,19.22889
132.619101638928,11.6687953745906,25.05697,22.49302,21.07152,19.87304,19.24044
132.619176122448,11.7468824073688,24.14766,23.0176,22.7734,22.83643,22.88243
132.619184848517,11.6409055426695,27.70401,21.18947,19.89933,19.68558,19.19588
132.619267539501,11.7286041898984,24.86194,24.74514,22.93469,21.00821,19.94592
132.619307198119,11.7284916116379,25.02711,23.87468,22.39714,20.82923,19.72574
132.619329212075,11.7286446612765,25.89408,24.98715,23.0283,21.06126,19.84071
132.619360928926,11.7015078348916,23.6349,22.48032,20.51496,20.08602,22.82691
132.619377079242,11.6762893577656,16.89168,15.75102,15.39564,15.28306,15.28802
132.619382918353,11.6762937570059,16.89629,15.74783,15.37945,15.29384,15.27756
132.61938517408,11.6762880796632,16.89104,15.73326,15.38854,15.29509,15.25386
132.619507341772,11.6714752082446,21.79484,20.35967,19.87404,19.77614,19.5908
132.619512837191,11.8916704419305,19.78284,17.36819,16.33324,15.94634,15.72806
132.619513937085,11.8916683640591,19.87018,17.36408,16.33817,15.93541,15.73886
132.61955712468,11.6713880695249,21.54298,20.43695,19.97698,19.73861,19.83435
132.619585405148,11.6714822962552,22.30587,20.47919,20.01726,19.80373,19.57953
132.619813718989,11.8457440786776,22.188,21.66304,20.92908,20.36022,20.13798
132.619835906113,11.8457591053576,24.61361,22.16365,21.60133,21.66018,21.36673
132.619906357736,11.6375237818563,25.42338,24.18829,17.55754,23.01228,21.00788
132.619932817599,11.697900544483,25.21231,25.13716,25.13746,22.32343,22.11475
132.619956269636,11.7226985866994,23.53811,21.86703,20.45233,19.13921,18.39242
132.61995664586,11.7430501842428,24.78174,23.61668,22.21441,21.61951,21.28301
132.619961869221,11.7227088107608,24.77178,21.95846,20.53146,19.19321,18.39375
132.619963219955,11.7430561107317,22.95983,23.7754,22.48356,21.78902,21.30658
132.619965707811,11.7226954099271,26.04814,22.00087,20.54091,19.17102,18.44754
132.619987410024,11.648511824801,20.85369,19.7955,19.49825,19.53563,19.28673
132.619989864205,11.6485032335756,20.66308,19.78448,19.46246,19.45069,19.50878
132.61999395073,11.6485135760179,20.88548,19.78753,19.51803,19.45742,19.46651
132.620002266025,11.7632173534884,23.28512,23.18947,22.78803,22.68605,21.31106
132.620072744421,11.7632161841059,26.13808,23.01936,23.45773,22.49552,21.7981
132.620122626819,11.6806214373939,27.02502,22.01598,20.30927,19.39767,18.93161
132.620127526167,11.6806279582491,22.51663,21.46514,20.02311,19.25083,18.70162
132.620138561026,11.6806379157365,22.95319,21.78548,20.2166,19.36806,18.89461
132.620145792815,11.630869062728,23.04591,22.57078,21.79946,21.11476,22.42743
132.620246911652,11.707017536966,25.86409,23.29964,22.57664,22.46537,23.22322
132.620264413168,11.6307090279102,23.80894,23.03472,22.44328,21.93126,22.43838
132.620372436285,11.6162662570778,23.70025,24.80434,22.39422,21.08451,20.4798
132.620411594932,11.6162659348732,23.79491,23.89883,22.48958,21.10909,20.06824
132.620461433112,11.6163253828163,25.69211,25.52839,22.43425,21.08536,20.2823
132.620478241258,11.6172742782854,24.01153,25.6147,25.09138,21.96452,22.24711
132.620480865035,11.8414048342294,21.71356,18.89526,17.50676,16.89753,16.55121
132.620488508316,11.8414105587384,21.74454,18.91132,17.51033,16.89576,16.54351
132.620560281379,11.9200071753111,21.77736,19.32529,17.92058,17.20942,16.81556
132.620560836205,11.9199992650229,22.47503,19.3635,17.92183,17.21118,16.84692
132.620738154006,11.711939007206,25.51564,22.09431,21.34052,21.19713,20.72644
132.62074898837,11.711945244782,23.03003,22.09136,21.59685,21.1868,21.25952
132.620760000162,11.711941346298,23.54197,22.1435,21.15976,21.2329,20.8007
132.703535813739,11.7001415582296,24.37902,24.51939,23.00292,22.05323,21.57267
132.703601282107,11.7710317779974,24.88434,23.76417,22.35501,22.18192,21.98526
132.703611216665,11.7710830589098,25.02868,22.96702,21.95148,21.62732,20.92072
132.703683643515,11.7709943579714,23.33093,23.19258,22.46193,22.17878,21.72653
132.704025413469,11.9489248349546,26.22694,24.1503,26.11819,22.38924,19.85632
132.704028947956,11.9487971936072,25.52522,24.19417,24.01607,21.72887,20.40937
132.7045191694,11.7128867561131,25.1258,24.43111,22.62675,21.02378,20.07364
132.704519249249,11.7129140298999,25.35887,24.03332,24.73794,20.80285,19.75485
132.704524511082,11.7093396819302,24.15294,23.62085,22.88972,21.56503,20.98952
132.704537324566,11.7129046805645,26.24851,24.70495,22.70945,21.06246,19.88363
132.704599045723,11.8183632939499,24.71532,24.10187,22.28383,22.35927,22.55956
132.704605815788,11.9105972820427,22.11377,22.15314,20.70606,20.08727,19.71604
132.704612256382,11.8185425170211,25.81907,24.50185,24.92331,22.32379,22.58953
132.704631181649,11.883820050623,23.03824,22.3061,21.86964,21.55595,21.3145
132.704663764832,11.8838645749891,22.89543,22.39918,21.93084,21.42512,20.97551
132.704667283564,11.7093760783295,23.99792,22.96605,21.96802,20.97137,20.81643
132.704731422451,11.997030957789,24.87323,23.8602,23.61796,23.47492,22.71704
132.704737384991,11.8486394212471,25.57492,23.0312,21.42956,20.06193,19.32095
132.704739993182,11.8486298927699,26.5222,23.13933,21.49553,20.0783,19.30499
132.704771284244,11.8405949612337,25.00567,22.50736,21.91618,21.40351,21.43721
132.704780203738,11.9104536210589,27.88753,21.53997,20.75468,19.01387,25.815
132.704798234018,11.8405881719334,23.33949,22.31285,21.72846,21.49529,21.53861
132.704801806002,11.8618604307242,23.9647,24.00167,23.27178,21.93953,21.9085
132.70486726589,11.6705430513318,24.13833,22.95478,22.39295,22.43095,21.4607
132.704926373344,12.0071044480684,20.35663,18.34513,17.21248,16.68908,16.35514
132.704929430468,12.007117000502,20.90839,18.45223,17.28358,16.76285,16.46788
132.704936139149,12.0071109560077,20.63695,18.53389,17.27399,16.74185,16.47186
132.704937134187,11.7720433766394,24.63298,22.51059,21.3247,21.53677,21.63991
132.704958188888,11.6707136510867,22.52386,23.3437,22.3108,21.64914,22.02118
132.704959796197,11.7722264491254,23.19551,22.64759,21.46408,21.38298,20.88649
132.704988825573,11.7721481598938,24.03218,22.74779,21.04268,20.7519,20.06041
132.705116937485,11.9913265646833,22.92736,20.72771,19.88176,19.54035,19.32186
132.705117829444,11.9913421746195,25.12649,20.8,19.87615,19.50451,19.2783
132.705191526288,11.6917587037333,23.26711,22.18158,21.58637,21.4155,21.84828
132.705212343645,11.7582213202146,23.92374,21.99742,20.60107,19.17569,18.43408
132.70521609555,11.7582246958713,24.55909,21.9876,20.58105,19.13494,18.35957
132.705229316703,11.7582159565395,24.46597,22.04084,20.49072,19.14284,18.37989
132.705234208333,11.7707304314419,19.77886,18.48514,17.92337,17.71999,17.65575
132.705234614145,11.7707304244642,19.91792,18.48878,17.93816,17.73101,17.63193
132.705237189218,11.7707303886031,19.8677,18.45834,17.92373,17.73864,17.64257
132.705253934335,11.9164786066777,22.48625,21.33813,20.59655,20.2216,19.99864
132.70526010037,11.9164779689989,22.42962,21.33237,20.55671,20.17939,19.83475
132.705310728996,11.6917252849169,25.59513,22.58416,21.8223,21.364,21.28926
132.705343264419,11.69165008187,23.69713,22.02476,21.41672,21.42995,20.79026
132.705349057685,11.7017309006817,24.35025,24.46995,22.29026,21.69164,20.66499
132.705376497567,11.8250276868201,25.3174,24.4395,23.17542,22.11009,22.88528
132.705389635196,11.894347000623,23.05385,20.65401,19.30707,18.68556,18.35949
132.705409456842,11.894343483811,23.6592,20.56439,19.27481,18.63708,18.30196
132.705423583369,11.7017917274432,23.93303,22.49068,21.02712,20.18782,19.78452
132.783304141651,11.9824956707453,27.26771,19.58583,18.71743,21.41817,24.98964
132.783311868721,11.8321696748007,17.8753,16.16163,15.47219,15.15007,14.9805
132.783321555221,11.8321672064864,17.97333,16.2789,15.50323,15.1839,15.0292
132.783365318726,11.6682306495174,21.24709,20.23917,19.98767,19.80526,19.75622
132.783378156482,11.6682334094207,21.14841,20.18496,19.9523,19.71172,19.59482
132.783382806974,11.6682454560997,21.20981,20.26552,19.98117,19.78123,19.72641
132.783399526173,11.640547913402,16.03047,14.71911,14.28847,14.13829,14.10412
132.783399574652,11.6405527172146,16.21856,14.88332,14.43606,14.26626,14.19385
132.783404827275,11.6405491927172,16.04565,14.71891,14.26143,14.13414,14.08926
132.632802444444,11.8546534029871,21.55832,18.88947,17.81778,17.416,17.19793
132.632812440084,11.8546511402531,21.47143,18.91749,17.81734,17.39041,17.14742
132.632837488518,11.7660163897387,25.8685,23.48951,22.61595,21.63075,22.39794
132.632929022,11.8054829793736,23.69584,22.59549,21.51948,21.11012,20.45229
132.632943512228,11.8054886157991,24.43934,22.5638,21.53391,21.00349,20.6759
132.633435139678,11.6909700055916,25.23931,25.41703,23.56906,22.19963,23.56325
132.63343829306,11.6909257308952,25.25105,24.90701,23.87883,22.34426,22.25184
132.633552540505,11.8572835447507,17.14753,15.80113,15.32415,15.16755,15.11251
132.633560228095,11.8572841756713,17.13018,15.80646,15.34271,15.16227,15.10886
132.633621336368,11.7010028965647,22.87786,22.4179,21.84753,21.36162,21.60887
132.633641453286,11.7009731233613,22.57112,22.55616,21.81986,21.7193,21.12924
132.633646206018,11.7011644383452,23.96857,22.62681,21.6121,21.28329,21.2987
132.633851934959,11.7823822235827,24.55638,22.68991,21.69488,21.34796,20.89531
132.633889188406,11.7824445027908,22.90508,22.2408,21.21174,20.99209,20.67657
132.633933009385,11.8506777472063,23.78433,23.05961,23.13898,22.42082,22.228
132.63399434463,11.8352367469322,22.80175,23.45038,22.38872,22.00491,22.70742
132.634008929316,11.6187050278875,23.81237,22.91436,22.56065,23.15264,22.44772
132.634030207895,11.8352528190339,24.87682,23.54401,22.40122,21.88467,21.62394
132.634052503523,12.0108096173113,22.6811,22.31099,21.49361,20.9287,22.17653
132.634060224807,12.01087591508,22.09982,22.10308,21.21576,20.87965,20.7759
132.634087999146,11.7585718445645,22.30643,21.99895,20.89657,20.54791,19.94093
132.634090019331,12.010830238977,22.46028,21.61452,20.95037,20.57032,20.16096
132.634092457953,11.7585736159941,22.89751,22.35917,21.17796,20.92727,20.49887
132.634094292308,11.758538717075,22.51431,22.26295,20.93973,20.82574,20.73701
132.634389856297,11.6252774810311,23.64001,22.43481,21.59704,21.7972,21.46394
132.634401886194,11.6528570427476,21.91198,19.86179,18.72395,18.29754,18.11047
132.634413753781,11.6528781418605,22.31826,19.85046,18.73084,18.30052,18.06024
132.63441857561,11.6528786152694,22.15244,19.82421,18.7026,18.28915,18.01384
132.634429621801,11.6252996753344,22.04389,22.08719,21.64531,21.7038,22.1454
132.634441486046,11.6253705781237,22.89858,21.9093,21.51049,21.38858,20.80342
132.634467211172,11.7500667069839,24.89582,23.85963,22.76752,20.10062,18.73788
132.634485745047,11.7499669015248,23.13821,25.45848,22.92242,20.21725,18.86364
132.63449963373,11.749981761642,25.57166,23.88804,22.48388,20.1186,18.66246
