name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
Milky Way,,,Sbc,,,,  160.0,   10.0
NGC 2915,9.43653,-76.62639,SBab,  4.06, 0.20,>,    3.0,    0.0
SMC,0.87722,-72.8002,Irr,  0.06, 0.00,,    1.0,    1.0
NGC 406,1.12351,-69.87742,SBc, 20.60, 1.40,,   85.0,   24.0
LMC,5.39294,-69.7561,Irr,  0.05, 0.00,,   16.0,    5.0
NGC 2434,7.58089,-69.28421,E0, 21.58, 3.08,,  143.0,   40.0
ESO 059-01,7.52179,-68.18753,Ibsm,  4.57, 0.50,,    1.0,    1.0
IC 5176,22.24884,-66.84939,Sc, 23.51, 4.10,,  132.0,   25.0
NGC 1313,3.30433,-66.49759,SBcd,  4.16, 0.08,,    7.0,    4.0
PGC 6240,1.69191,-65.61599,S0,113,18.1,,  210.0,   20.0
NGC 2082,5.69753,-64.30108,SBb, 17.80, 1.30,,   27.0,   17.0
ESO 137-18,16.34976,-60.48759,Sasc,  5.00, 1.00,,    7.0,    3.0
ESO 118-034,4.67151,-58.74419,S0, 16.60, 1.20,,    3.0,    2.0
KK 197,8.63256,-57.97389,Im,  3.87, 0.40,,    3.0,    2.0
NGC 1533,4.1644,-56.11846,E/S0, 21.38, 4.09,,  250.0,   30.0
NGC 1553,4.26958,-55.78002,S0, 18.54, 1.51,,  540.0,  160.0
NGC 1549,4.26254,-55.59229,E, 19.68, 1.70,,  140.0,   60.0
NGC 1581,4.41249,-54.942,E/S0, 22.80, 1.60,,    4.0,    4.0
ESO 154-023,2.94727,-54.57064,Sbsm,  5.90, 0.50,,    3.0,    1.0
ESO 185-IG013,19.75015,-54.25082,S, 78.40, 5.50,,   20.0,   10.0
NGC 6397 GAL1,17.68672,-53.72125,E,375,15,, 1600.0,  600.0
NGC 1311,3.33528,-52.18582,SBm,  5.45, 0.50,,    5.0,    2.0
IC 1959,3.55351,-50.41427,SBsm,  6.40, 0.30,,    7.0,    3.0
NGC 7049,21.31643,-48.5629,S0, 29.92, 3.19,, 2700.0,  800.0
NGC 6861,20.12208,-48.3703,E/S0, 28.05, 5.06,, 1860.0,  600.0
ESO 223-09,15.01905,-48.29184,IAB,  6.49, 0.60,,    8.0,    3.0
NGC 1483,3.87989,-47.4775,SBbc, 15.70, 1.10,,    5.0,    4.0
NGC 7014,21.13115,-47.17902,E, 49.46, 3.40,, 1634.0,   88.0
ESO 269-58,13.17581,-46.99199,I0,  3.80, 0.40,,    8.0,    3.0
ESO 274-01,15.23706,-46.80911,Scd,  3.09, 0.30,,   10.0,    3.0
IC 2035,4.15053,-45.5176,E/S0, 20.80, 1.50,,   55.0,   10.0
ESO 269-66,13.2191,-44.89,dE/N,  3.82, 0.40,,    4.0,    2.0
NGC 5128,13.42448,-43.01812,E3p,  3.80, 0.07,, 1300.0,  300.0
NGC 5237,13.62752,-42.8469,Irr,  3.40, 0.30,,    3.0,    2.0
