name,ra,dec
NGC 2915,9.43653,-76.62639
SMC,0.87722,-72.8002
NGC 406,1.12351,-69.87742
LMC,5.39294,-69.7561
NGC 2434,7.58089,-69.28421
ESO 059-01,7.52179,-68.18753
IC 5176,22.24884,-66.84939
NGC 1313,3.30433,-66.49759
PGC 6240,1.69191,-65.61599
NGC 2082,5.69753,-64.30108
ESO 137-18,16.34976,-60.48759
ESO 118-034,4.67151,-58.74419
KK 197,8.63256,-57.97389
NGC 1533,4.1644,-56.11846
NGC 1553,4.26958,-55.78002
NGC 1549,4.26254,-55.59229
NGC 1581,4.41249,-54.942
ESO 154-023,2.94727,-54.57064
ESO 185-IG013,19.75015,-54.25082
NGC 6397 GAL1,17.68672,-53.72125
NGC 1311,3.33528,-52.18582
IC 1959,3.55351,-50.41427
NGC 7049,21.31643,-48.5629
NGC 6861,20.12208,-48.3703
ESO 223-09,15.01905,-48.29184
NGC 1483,3.87989,-47.4775
NGC 7014,21.13115,-47.17902
ESO 269-58,13.17581,-46.99199
ESO 274-01,15.23706,-46.80911
IC 2035,4.15053,-45.5176
ESO 269-66,13.2191,-44.89
NGC 5128,13.42448,-43.01812
NGC 5237,13.62752,-42.8469
KKS 55,13.37022,-42.72806
ESO 306-017,5.66853,-40.83627
NGC 55,0.24822,-39.19658
NGC 300,0.91487,-37.68448
FCC 242,3.67236,-37.6449
NGC 3557,11.16603,-37.53925
NGC 1419,3.67837,-37.51088
ESO 301-G08,3.37297,-37.39764
NGC 1316,3.37826,-37.20821
FCC 0046,3.44028,-37.12806
FCC 0025,3.39261,-36.98389
FCC 303,3.75392,-36.93679
NGC 1460,3.77048,-36.6964
NGC 5102,13.36601,-36.6301
FCC 238,3.67142,-36.5346
ESO 358-G66,3.79796,-36.47167
IC 1459,22.95294,-36.46218
FCC 316,3.78372,-36.43752
FCC 150,3.59003,-36.36389
FCC 90,3.51896,-36.29007
FCC 246,3.67714,-36.121
ESO 358-G59,3.751,-35.9727
IC 2006,3.90791,-35.9672
ESO 359-G02,3.84353,-35.90937
ESO 357-G25,3.39368,-35.77837
NGC 1389,3.61992,-35.74602
FCC 254,3.68356,-35.74252
NGC 1336,3.44228,-35.71366
NGC 1427A,3.66925,-35.62451
NGC 3258,10.48155,-35.60538
NGC 1404,3.64775,-35.59424
FCC 136,3.57486,-35.54649
NGC 1387,3.61585,-35.50663
NGC 1399,3.64141,-35.45063
NGC 1379,3.60106,-35.44116
NGC 1427,3.70539,-35.39278
FCC 182,3.61508,-35.37464
FCC 95,3.52356,-35.33108
NGC 3268,10.5002,-35.32556
FCC 146,3.58656,-35.32295
NGC 1381,3.60881,-35.29521
NGC 1375,3.58801,-35.26562
NGC 1374,3.58794,-35.22633
NGC 1380B,3.61916,-35.1951
NGC 1428,3.70638,-35.15338
FCC 100,3.5299,-35.05186
NGC 1380,3.60766,-34.97613
NGC 1351,3.50971,-34.85402
NGC 1380A,3.61319,-34.73962
FCC 189,3.61893,-34.73136
ESO 358-G06,3.45501,-34.52639
ESO 358-G42,3.63588,-34.51858
Fornax dE,2.66647,-34.44917
ESO 358-G26,3.59193,-34.44708
FCC 106,3.54658,-34.23869
IC 4296,13.61085,-33.96582
ESO 358-G56,3.72295,-33.94002
ESO 358-G50,3.68434,-33.77946
FCC 119,3.55942,-33.57324
FCC 0059,3.46294,-33.56417
NGC 5193,13.53153,-33.23393
ESO 358-G43,3.63712,-33.12725
FCC 174,3.6126,-33.01486
ESO 358-G01,3.43396,-32.89445
IC 1919,3.43396,-32.89445
ESO 383-G076,13.79122,-32.86497
NGC 7793,23.96382,-32.59104
ESO 358-G25,3.59253,-32.46491
NGC 1339,3.46849,-32.28607
NGC 7173,22.03426,-31.97372
KK 246,20.06594,-31.68167
ESO 444-G046,13.4658,-31.49546
NGC 1344,3.47212,-31.06812
Sagittarius dE,18.92208,-30.54528
IC 4329,13.81814,-30.29573
NGC 5236,13.61691,-29.86556
NGC 3923,11.85049,-28.80597
NGC 4980,13.15281,-28.64166
NGC 3056,9.90913,-28.29805
NGC 3311,10.61188,-27.52788
ESO 509-G008,13.44559,-27.4393
ESO 499-037,10.06162,-27.0278
NGC 3585,11.22142,-26.75486
NGC 1201,3.0689,-26.06966
NGC 253,0.79253,-25.28844
ESO 498-005,9.41131,-25.09267
NGC 2865,9.39172,-23.16161
NGC 1426,3.71364,-22.10836
NGC 1439,3.74722,-21.92072
NGC 1332,3.43811,-21.33528
NGC 247,0.78571,-20.76045
NGC 5018,13.21695,-19.5182
NGC 2758,9.09201,-19.04277
NGC 1400,3.65857,-18.68815
NGC 1407,3.66996,-18.58036
NGC 5170,13.49688,-17.9665
NGC 4033,12.00962,-17.84247
NGC 1345,3.49213,-17.77839
A1644 1,12.95322,-17.40944
WLM,0.03284,-15.46093
NGC 1172,3.02668,-14.83661
NGC 6822,19.74916,-14.80034
NGC 2902,9.5147,-14.73588
NGC 720,1.88348,-13.73858
NGC 7727,23.66496,-12.29284
NGC 4594,12.66651,-11.62301
A754 1,9.14233,-9.63
A754 2,9.14414,-9.62525
NGC 1052,2.68466,-8.2558
NGC 3115DW1,10.09489,-7.98139
NGC 3115,10.08721,-7.71856
NGC 584,1.52242,-6.86805
NGC 3818,11.69927,-6.15558
NGC 4697,12.81,-5.8006
NGC 1600,4.52774,-5.08608
NGC 1700,4.94898,-4.86597
NGC 541,1.42898,-1.37949
A1689 BCG,13.19153,-1.33806
NGC 1132,2.88105,-1.27464
NGC 4517,12.54597,0.11462
NGC 1055,2.69582,0.44318
NGC 5846,15.10812,1.60629
NGC 5845,15.10022,1.63397
NGC 5813,15.0198,1.70201
NGC 4073,12.07419,1.89593
NGC 4636,12.7138,2.68762
NGC 3156,10.21146,3.12934
NGC 474,1.33519,3.41534
VCC 1530,12.56547,5.71859
NGC 4261,12.32306,5.82504
UGC 3274,5.27692,6.4417
CGCG 421-019,5.28199,6.55247
UGC 9799,15.27904,7.02146
NGC 6384,17.54006,7.0603
NGC 4309A,12.37075,7.16722
NGC 4570,12.61484,7.2467
NGC 4612,12.69243,7.31485
NGC 4365,12.40785,7.31758
VCC 1107,12.47509,7.32525
VCC 1311,12.51314,7.60576
NGC 4623,12.70298,7.67692
NGC 4526,12.56751,7.69921
VCC 1333,12.51698,7.7233
IC 3131,12.31412,7.86164
VCC 1514,12.56048,7.87319
VCC 1167,12.48672,7.8787
VCC 571,12.3781,7.95036
NGC 4472,12.49633,8.00039
VCC 1254,12.50143,8.0738
VCC 1049,12.46523,8.09047
NGC 4434,12.46019,8.15431
NGC 4464,12.48925,8.15656
NGC 4318,12.37869,8.19827
VCC 992,12.45519,8.21285
NGC 7626,23.34514,8.21706
VCC 503,12.36395,8.541
VCC 747,12.41327,8.99153
NGC 4483,12.51129,9.01565
IC 3487,12.55374,9.39724
